branch_id,branch_name
ET0010170,BURAYU BRANCH
ET0010850,BURAYU KELA BRANCH
ET0010081,BURE BRANCH
ET0010472,BURIE DAMOT BRANCH
ET0010171,BUTAJIRA BRANCH
ET0010051,Bole Medhanialem Branch
ET0010936,CALUB BRANCH
ET0010530,CASTLE BRANCH
ET0010433,CHACHA BRANCH
ET0010049,CHAGNI BRANCH
ET0010888,CHAMO BRANCH
ET0010927,CHANCHO BRANCH
ET0010788,CHEFA ROBIT BRANCH
ET0010791,CHEFE BRANCH
ET0010674,CHEFE DONSA BRANCH
ET0010485,CHELELEKTU BRANCH
ET0010629,CHELENKO BRANCH
ET0010395,CHEMENDEFER BRANCH
ET0010740,CHENA BRANCH
ET0010742,CHENCHA BRANCH
ET0010935,CHERETI BRANCH
ET0010458,CHILALO BRANCH
ET0010185,CHILOT ADEBABAY BR
ET0010060,CHIRO BRANCH
ET0010632,CHOLE BRANCH
ET0010058,CHURCHIL ROAD BRANCH
ET0010705,CHWAHIT BRANCH
ET0010250,CINEMA RAS BRANCH
ET0010061,CMC BRANCH
ET0010972,CMC CONVENTION MAIK BR
ET0010721,CMC MICHAEL BRANCH
ET0010397,COLONELBEZABEHPETROSBR
ET0010181,CROWN BRANCH
ET0010242,D/G/M/GARI BRANCH
ET0010747,DABE BOKU BRANCH
ET0010889,DABE SOLOKE BRANCH
ET0010547,DAGMAWI MENILEK BRANCH
ET0010942,DAMOTA BRANCH
ET0010102,DANGLA BRANCH
ET0010401,DANSHA BRANCH
ET0010743,DARGE BRANCH
ET0010470,DARUSELAM BRANCH
ET0010375,DATO BRANCH
ET0010895,DAWA BRANCH
ET0010549,DAWDO BRANCH
ET0010875,DAWUNT BRANCH
ET0010166,DEBARK BRANCH
ET0010042,DEBEBE H YOHANNES
ET0010098,DEBRE BERHAN BRANCH
ET0010160,DEBRE GELILA BRANCH
ET0010021,DEBRE MARKOS BRANCH
ET0010409,DEBRE SINA BRANCH
ET0010313,DEBRE WORK BRANCH
ET0010038,DEBRETABOR BRANCH
ET0010844,DEBUB BENCH-SUB BR
ET0010596,DECHA SUB BRANCH
ET0010552,DEGAGA BRANCH
ET0010907,DEGAN BRANCH
ET0010514,DEGEHABUR BRANCH
ET0010242,DEJAZMACH GMARIAM GARI
ET0010229,DEJAZMACH OMAR SAMATAR
ET0010294,DEJAZMACH WONDYIRAD BR
ET0010345,DEJEN BRANCH
ET0010570,DEKER BRANCH
ET0010694,DELGI BRANCH
ET0010156,DEMBECHA BRANCH
ET0010457,DEMBELA BRANCH
ET0010233,DEMBIDOLO BRANCH
ET0010399,DENBOYA BRANCH
ET0010567,DENEBA BRANCH
ET0010650,DENGEL BRANCH
ET0010563,DERA BRANCH
ET0010604,DERARTU TULU BRANCH
ET0010027,DESSIE BRANCH
ET0010560,DHERA BRANCH
ET0010373,DIASPORA BRANCH
ET0010811,DIBZA BIRANCH
ET0010465,DICHE OTO BRANCH
ET0010258,DIL BER BRANCH
ET0010439,DIL CHORA BRANCH
ET0010519,DIL GEBEYA BRANCH
ET0010439,DILCHORA BRANCH
ET0010019,DILLA BRANCH
ET0010343,DILLA SUB-BRANCH
ET0010519,DIL_GEBEYA
ET0010426,DIMA BRANCH
ET0010713,DIRE AIRPORT BRANCH
ET0010015,DIRE DAWA BRANCH
ET0010783,DIRE MEDHANEALEM BR
ET0010945,DIRE MOENCO BRANCH
ET0010814,DIRE SEBATEGNA BRANCH
ET0010429,DJZ TESHOME SHNKUT BR
ET0010652,DODOLA BRANCH
ET0010916,DOLOMENA BRANCH
ET0010579,DONI BRANCH
ET0010407,DOYOGENA BRANCH
ET0010542,DR CATHERIN HAMLIN BR
ET0010542,DR CATHERINE BRANCH
ET0010722,DUBISA BRANCH
ET0010189,DUKEM BRANCH
ET0010865,DUME BRANCH
ET0010388,DURAME BRANCH
ET0010015,Diredawa Branch
ET0010415,EASTERN INDST ZONE BR
ET0010590,EBINAT BRANCH
ET0010770,ECA BRANCH
ET0010400,EDAGA HAMUS BRANCH
ET0010810,EHUDIT BRANCH
ET0010314,ELALA BRANCH
ET0010959,ELEMO KILTU BRANCH
ET0010546,EMDEBER BRANCH
ET0010498,ENDABAGUNA BRANCH
ET0010408,ENTICHO BRANCH
ET0010867,ERECHA BRANCH
ET0010902,ESTAYISH BRANCH
ET0010318,ESTIE BRANCH
ET0010948,ETEGE MENEN BRANCH
ET0010137,ETEGE MINTIWAB
ET0010245,ETEGE TAITU BRANCH
ET0010269,ETEYA BRANCH
ET0010537,ETEYA SUB BRANCH
ET0010192,ETHIO-CHINA ROAD BR
ET0010493,EZANA BRANCH
ET0010730,FAFEN BRANCH
ET0010074,FASILEDES BRANCH
ET0010074,FASSILEDES BRANCH
ET0010703,FELEGE BIRHAN BRANCH
ET0010554,FENTALE BRANCH
ET0010901,FERENSAY ABO BRANCH
ET0010354,FERES BET BRANCH
ET0010167,FICHE BRANCH
ET0010869,FIGA MEBRAT BRANCH
ET0010006,FILWUHA BRANCH
ET0010064,FINOTESELAM BRANCH
ET0010440,FITAWARARI GEBRYE BR
ET0010162,FITAWRARI AMEDE LEMMA
ET0010499,FITAWRARI GEJA GERABO
ET0010896,FOGERA BRANCH
ET0010511,FREWEYNI BRANCH
ET0010852,FUGNAN BIRRA BRANCH
ET0010775,FURA BRANCH
ET0010122,FURI BRANCH
ET0010462,GAFAT BRANCH
ET0010438,GALOL BRANCH
ET0010124,GAMBELLA BRANCH
ET0010377,GARA GURI BRANCH
ET0010214,GASHENA BRANCH
ET0010378,GEBRIEL MESALEMIA BR
ET0010738,GECHA-SUB BRANCH
ET0010735,GECHI REMADAN-SUB BR
ET0010963,GEDA BRANCH
ET0010787,GEDA KILOLIE BRANCH
ET0010376,GEDEB BRANCH
ET0010938,GEDRO BRANCH
ET0010520,GEJA SEFER BRANCH
ET0010757,GELAN BRANCH
ET0010285,GELAN CONDOMINIUM BR
ET0010804,GELAN CONDOMINIUM NO2
ET0010517,GELEMSO BRANCH
ET0010608,GEMBIE BRANCH
ET0010683,GENALE BRANCH
ET0010255,GENDA WUHA BRANCH
ET0010396,GENDE GARA BRANCH
ET0010605,GENDE KORE BRANCH
ET0010665,GENETE BRANCH
ET0010575,GENFEL BRANCH
ET0010823,GERADO BRANCH
ET0010382,GERADWULWAL BRANCH
ET0010640,GERAY BRANCH
ET0010786,GERBA BRANCH
ET0010224,GERBE GURACHA BRANCH
ET0010765,GERCHECH BRANCH
ET0010599,GEREGERA SUB BRANCH
ET0010022,GERGI BRANCH
ET0010406,GERHU SRNAY BRANCH
ET0010688,GERJI GEBEYA BRANCH
ET0010092,GERJI GIORGIS BRANCH
ET0010380,GERJI MARIAM BRANCH
ET0010416,GERJI MEBRAT BRANCH
ET0010829,GERMAN ADEBABAY BR
ET0010792,GEWANE BRANCH
ET0010201,GHIMBI BRANCH
ET0010305,GHINNIR BRANCH
ET0010179,GHION BRANCH
ET0010561,GIDOLE BRANCH
ET0010287,GILGEL BELES BRANCH
ET0010532,GIMBICHO BRANCH
ET0010728,GIMBICHU BRANCH
ET0010763,GIMBO BRANCH
ET0010432,GINAGER BRANCH
ET0010720,GINCHI BRANCH
ET0010254,GINDE WOIN BRANCH
ET0010837,GIRANA BRANCH
ET0010272,GIRAR BRANCH
ET0010142,GISH ABAY BRANCH
ET0010664,GISHEN DEBRE KERBE BR
ET0010446,GOBESA BRANCH
ET0010978,GOBYE BRANCH
ET0010288,GODE BRANCH
ET0010676,GOFA GEBRIEL BRANCH
ET0010020,GOFFA BRANCH
ET0010243,GOFFA MAZORIA BRANCH
ET0010207,GOFFA MEBRAT
ET0010207,GOFFA MEBRAT HAYL BR
ET0010818,GOMMA BRANCH
ET0010257,GONDER MARAKI BRANCH
ET0010756,GONJI BRANCH
ET0010931,GORE BRANCH
ET0010420,GORO ADEBABAY BRANCH
ET0010833,GORO FIGA BRANCH
